Year,Avg Price,Min Price,Max Price,Avg Volume,Min Volume,Min Volume,Max Volume
1997,0.2809837702013768,0.049107,0.654018,205538217.4866174,1388800.0,1388800.0,4190480000.0
1998,0.28050777264015375,0.049107,0.654018,220604339.24293244,1388800.0,1388800.0,4190480000.0
1999,0.29385270531073504,0.049107,1.053571,238859284.24858758,1388800.0,1388800.0,4190480000.0
2000,0.3219688748930716,0.049107,1.342634,251650584.4311377,1388800.0,1388800.0,7421640800.0
2001,0.3239269599837501,0.049107,1.342634,258160393.5811497,1388800.0,1388800.0,7421640800.0
2002,0.3247631560688059,0.049107,1.342634,260419027.4449169,1388800.0,1388800.0,7421640800.0
2003,0.3250556328110602,0.049107,1.342634,261466704.51612905,1388800.0,1388800.0,7421640800.0
2004,0.33874034478506,0.049107,1.342634,271337896.124031,1388800.0,1388800.0,7421640800.0
2005,0.39501280833473956,0.049107,2.695,290504958.4612789,1388800.0,1388800.0,7421640800.0
2006,0.4814565887971509,0.049107,3.327143,313536444.9409098,1388800.0,1388800.0,7421640800.0
2007,0.6409709366734094,0.049107,7.248571,339578697.1215186,1388800.0,1388800.0,7421640800.0
2008,0.8078206802665072,0.049107,7.248571,369422715.0172182,1388800.0,1388800.0,7421640800.0
2009,0.9686667225829727,0.049107,7.641071,376606347.0707071,1388800.0,1388800.0,7421640800.0
2010,1.2591159259852394,0.049107,11.666429,384405122.23924243,1388800.0,1388800.0,7421640800.0
2011,1.6556457167653402,0.049107,15.239286,388055353.0678148,1388800.0,1388800.0,7421640800.0
2012,2.269472077854446,0.049107,25.18107,392616764.4317146,1388800.0,1388800.0,7421640800.0
2013,2.731810325769037,0.049107,25.18107,393034596.46999496,1388800.0,1388800.0,7421640800.0
2014,3.3557733636808043,0.049107,29.9375,388729523.0111206,1388800.0,1388800.0,7421640800.0
2015,4.149434987668961,0.049107,33.634998,383332353.3317524,1388800.0,1388800.0,7421640800.0
2016,4.784987154979852,0.049107,33.634998,376682139.5048935,1388800.0,1388800.0,7421640800.0
2017,5.704450722719644,0.049107,44.299999,369178775.60156685,1388800.0,1388800.0,7421640800.0
2018,6.836352174251501,0.049107,58.3675,362837918.4757757,1388800.0,1388800.0,7421640800.0
2019,8.039425045729132,0.049107,73.4925,356165013.26833403,1388800.0,1388800.0,7421640800.0
2020,10.311026367877787,0.049107,138.789993,351001387.3245252,1388800.0,1388800.0,7421640800.0
2021,13.610282570731458,0.049107,182.130005,344417984.1633967,1388800.0,1388800.0,7421640800.0
